Thu Dec 16 00:45:19 2021    output.dat

         18333277 function calls (17923685 primitive calls) in 9.899 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.008    0.001 D:\Python_3_10\lib\site-packages\numpy\core\arrayprint.py:1534(_array_str_implementation)
       10    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       10    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
       10    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      8/6    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\abc.py:121(__subclasscheck__)
        8    0.000    0.000    0.000    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\FinishSelectingDestinationsAction.py:28(<genexpr>)
      8/6    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        7    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\copyreg.py:109(_slotnames)
        7    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\numpy\core\arrayprint.py:374(<lambda>)
        7    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\numpy\core\arrayprint.py:1185(__init__)
        7    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        7    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        6    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\numpy\core\_ufunc_config.py:32(seterr)
        6    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\numpy\core\_ufunc_config.py:131(geterr)
        6    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
        5    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        4    0.000    0.000    0.000    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\FinishSelectingDestinationsAction.py:26(__minimum_number_of_destinations_were_selected)
        3    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\_collections_abc.py:315(__subclasshook__)
        3    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\numpy\core\_ufunc_config.py:425(__init__)
        3    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\numpy\core\_ufunc_config.py:429(__enter__)
        3    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\numpy\core\_ufunc_config.py:434(__exit__)
        3    0.000    0.000    0.001    0.000 D:\Python_3_10\lib\site-packages\numpy\core\arrayprint.py:375(<lambda>)
        3    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\numpy\core\arrayprint.py:860(_none_or_positive_arg)
        3    0.000    0.000    0.001    0.000 D:\Python_3_10\lib\site-packages\numpy\core\arrayprint.py:869(__init__)
        3    0.000    0.000    0.001    0.000 D:\Python_3_10\lib\site-packages\numpy\core\arrayprint.py:896(fillFormat)
        2    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\types.py:176(__get__)
        2    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\enum.py:796(name)
        2    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\random.py:406(sample)
